,token_id,gloss,utterance_id,utterance_gloss,clan_part_of_speech,utterance_id,spacy_part_of_speech,spacy_part_of_speech-2,CORRECT,CORRECT-2,CORRECT-3,SPACY_MATCH,CLAN_MATCH,,comment
0,65286565,aussi,17948035,et qu'est-ce que tu manges depuis quelques temps aussi,ADV,17948035,ADV,ADV,ADV,,,,,,
1,64948508,bien,17861730,c'est bien mon coeur o,NOUN,17861730,ADV,ADV,ADV,,,,No match,,clan: noun instead of verb
2,64716866,pendant,17793365,est-ce que tu racontes un tout petit peu à Aliyah ce qu'on a fait pendant les vacances,PREP,17793365,ADP,PREP,ADP,PREP,,,,,prep=adp
3,65778809,hébreu,18042971,oui y a Milena mais Mileva c'est en hébreu ça voulait dire du coeur,NOUN,18042971,NOUN,NOUN,NOUN,,,,,,
4,64800428,Christophe,17823588,oh ben dis_donc tu vois Christophe il a l'oeil hein plus que moi,NOUN,17823588,VERB,VERB,NOUN,PROPN,,No match,,,spacy:Proper noun distinction (thought proper noun is verb)
5,65163286,celles-là,17926632,celles-là aussi elles sont jolies,PRON,17926632,PRON,PRON,PRON,,,,,,
6,65402081,largement,17982014,donc tu vois on en a largement,ADV,17982014,ADV,ADV,ADV,,,,,,
7,65767955,plus,18087425,mais je joue plus très bien,PREP,18087425,ADV,ADV,ADV,,,,No match,,clan: preposition instead of adverb
8,65028640,tiens,17880362,tu regarderas le film et tu diras tiens j'avais quatre ans,ADJ,17880362,ADJ,ADJ,ADJ,,,,,,
9,65325538,dessus,17963524,faut tirer dessus,ADV,17963524,ADV,ADV,ADV,,,,,,
10,64847287,fini,17838256,fini,PART,17838256,AUX,AUX,ADJ,PART,,No match,,,
11,65177323,mais,17913947,elle meurt pas hein mais elle disparaît,ADV,17913947,CCONJ,CCONJ,CCONJ,,,,No match,,clan: adverb instead of conj
12,65531354,failli,18009554,vous avez failli tomber madame la factrice,PART,18009554,VERB,VERB,VERB,PART,,,,,part=verb
13,64656407,badge,17790432,hé mais dis_donc tu as un badge,NOUN,17790432,NOUN,NOUN,NOUN,,,,,,
14,64850243,réussi,17821503,bravo Nanée elle a réussi,PART,17821503,VERB,VERB,VERB,PART,,,,,
15,65017535,laisses,17892049,Ulysse tu laisses Julie monter,VERB,17892049,ADJ,ADJ,VERB,,,No match,,,spacy: adj instead of verb
16,65402736,du_coup,17977043,du_coup alterner il nous disait qu'alterner c'était,ADV,17977043,ADP,ADP,ADP,,,,No match,,LABEL MISMATCHING : ADV vs ADP (spacy gives more exact info in this case)
17,64993772,après,17873227,on pique on pique et puis après maman va encore en couper d'accord,PREP,17873227,ADP,PREP,ADP,PREP,,,,,
18,64840138,te,17840134,il est en_train de te piquer le papier où t'as noté le,PRON,17840134,PRON,PRON,PRON,,,,,,
19,65384661,prend,17978198,ben prend un verre,VERB,17978198,VERB,VERB,VERB,,,,,,
20,64996843,tu,17859584,tu as un salon aussi,PRON,17859584,NOUN,NOUN,PRON,,,No match,,,spacy: noun instead of pronoun
21,64754877,passe,17817296,et ça se passe aussi euh le bébé,VERB,17817296,VERB,VERB,VERB,,,,,,
22,65488663,oreiller,17995329,l'avait un oreiller,NOUN,17995329,NOUN,NOUN,NOUN,,,,,,
23,65477897,regarde,17996618,regarde les carottes,VERB,17996618,NOUN,NOUN,VERB,,,No match,,,
24,65228613,petite,17929892,ça c'est un petit garçon xxx à côté de sa petite maison,ADJ,17929892,ADJ,ADJ,ADJ,,,,,,
25,65418888,d'habitude,17976314,d'habitude ça crie hein,NOUN,17976314,ADP,ADP,ADP,,,,No match,,clan: noun instead of adp
26,64802412,mal,17830576,maman elle s'y prend mal mais euh,ADJ,17830576,ADV,ADV,ADV,,,,No match,,clan: adj instead of adv
27,64729913,roté,17812388,oh j'ai roté,PART,17812388,VERB,VERB,VERB,PART,,,,,
28,65777778,achetés,18047271,tu te souviens des couverts qu'elle t'avait achetés Lili,PART,18047271,VERB,VERB,VERB,PART,,,,,
29,64806207,te,17836980,tu es un coquin toi on va te donner un peu de pain quand_même peut-être non pour meubler un peu non,PRON,17836980,NOUN,NOUN,PRON,,,No match,,,LABEL MISMATCHING : PRO vs NOUN
