,token_id,gloss,utterance_id,utterance_gloss,part_of_speech,log_frequency_bin,utterance_id,spacy_part_of_speech,CORRECT,comment
0,65286565,aussi,17948035,et qu'est-ce que tu manges depuis quelques temps aussi,adv,3,17948035,ADV,ADV,
1,64948508,bien,17861730,c'est bien mon coeur o,n,4,17861730,ADV,ADV,clan: noun instead of verb
2,64716866,pendant,17793365,est-ce que tu racontes un tout petit peu à Aliyah ce qu'on a fait pendant les vacances,prep,2,17793365,ADP/PREP,ADP/PREP,prep=adp 
3,65778809,hébreu,18042971,oui y a Milena mais Mileva c'est en hébreu ça voulait dire du coeur,n,0,18042971,NOUN,NOUN,
4,64800428,Christophe,17823588,oh ben dis_donc tu vois Christophe il a l'oeil hein plus que moi,n,3,17823588,VERB,NOUN/PROPN,spacy:Proper noun distinction (thought proper noun is verb)
5,65163286,celles-là,17926632,celles-là aussi elles sont jolies,pro,1,17926632,PRON,PRON,
6,65402081,largement,17982014,donc tu vois on en a largement,adv,0,17982014,ADV,ADV,
7,65767955,plus,18087425,mais je joue plus très bien,prep,3,18087425,ADV,ADV,clan: preposition instead of adverb
8,65028640,tiens,17880362,tu regarderas le film et tu diras tiens j'avais quatre ans,adj,2,17880362,ADJ,ADJ,
9,65325538,dessus,17963524,faut tirer dessus,adv,2,17963524,ADV,ADV,
10,64847287,fini,17838256,fini,part,3,17838256,AUX,ADJ/PARTICIPLE,
11,65177323,mais,17913947,elle meurt pas hein mais elle disparaît,adv,4,17913947,CCONJ,CCONJ,clan: adverb instead of conj
12,65531354,failli,18009554,vous avez failli tomber madame la factrice,part,1,18009554,VERB,VERB/PARTICIPLE,part=verb
13,64656407,badge,17790432,hé mais dis_donc tu as un badge,n,0,17790432,NOUN,NOUN,
14,64850243,réussi,17821503,bravo Nanée elle a réussi,part,2,17821503,VERB,VERB/PARTICIPLE,
15,65017535,laisses,17892049,Ulysse tu laisses Julie monter,v,1,17892049,ADJ,VERB,spacy: adj instead of verb
16,65402736,du_coup,17977043,du_coup alterner il nous disait qu'alterner c'était,adv,1,17977043,ADP,ADP,LABEL MISMATCHING : ADV vs ADP (spacy gives more exact info in this case)
17,64993772,après,17873227,on pique on pique et puis après maman va encore en couper d'accord,prep,2,17873227,ADP/PREP,ADP/PREP,
18,64840138,te,17840134,il est en_train de te piquer le papier où t'as noté le,pro,3,17840134,PRON,PRON,
